2019-10-13 10:45:12,819 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: global.sesoc:libs:1.0.0-BUILD-SNAPSHOT @ C:\library\2ndProjectBook\pom.xml.
2019-10-13 10:45:19,682 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:19,689 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:45:19,702 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:19,703 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-10-13 10:45:29,863 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:29,912 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:45:29,926 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:29,931 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-10-13 10:45:31,033 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:31,035 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:45:31,043 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:45:31,044 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-13 10:47:38,348 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:38,351 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:47:38,363 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:38,364 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-10-13 10:47:45,429 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:45,435 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:47:45,445 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:45,446 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-10-13 10:47:56,551 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:56,552 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-13 10:47:56,593 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:47:56,594 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-13 10:48:27,993 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:48:27,994 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-10-13 10:48:28,011 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:48:28,012 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-10-13 10:48:44,169 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:48:44,170 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-13 10:48:44,176 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-13 10:48:44,177 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
